"project","q_index","question","answer"
"MIB","1","How user-friendly should the SHS be? What are the usability requirements?","The SHS should be highly user-friendly, with an intuitive and accessible interface suitable for users of all ages and abilities. It should support multiple interaction modes, such as mobile applications, voice commands, and automated operation. The system should require minimal user intervention, provide clear feedback, and allow easy customization of preferences."
"MIB","2","How does the SHS interact with the bed and other external physical elements?","The Smart Home System (SHS) interacts with the bed and other external physical elements indirectly through a network of sensors and contextual data sources. These may include pressure sensors, motion detectors, temperature sensors, and presence sensors embedded in the environment. The SHS analyzes the collected data to infer the user’s activity and condition, without directly controlling the physical furniture components."
"MIB","3","What contextual information does the SHS use to adapt to the user’s needs?","The Smart Home System (SHS) interacts with the bed and other external physical elements indirectly through a network of sensors and contextual data sources. These may include pressure sensors, motion detectors, temperature sensors, and presence sensors embedded in the environment. The SHS analyzes the collected data to infer the user’s activity and condition, without directly controlling the physical furniture components."
"MIB","4","What specific features should the SHS provide to support the user's needs?","The Smart Home System (SHS) interacts with the bed and other external physical elements indirectly through a network of sensors and contextual data sources. These may include pressure sensors, motion detectors, temperature sensors, and presence sensors embedded in the environment. The SHS analyzes the collected data to infer the user’s activity and condition, without directly controlling the physical furniture components."
"MIB","5","What are the response time requirements for the SHS to react to changes in the user's environment?","The SHS should react to safety-critical changes in the user’s environment within a few seconds (typically 1 to 5 seconds). Comfort-related adjustments, such as lighting or temperature changes, should be performed within a short delay, generally within 1 to 5 minutes, to ensure a seamless and comfortable user experience."
"MIB","6","What are the reliability requirements for the SHS? How often should it fail without affecting the user's safety or comfort?","The SHS should meet high reliability requirements, with a mean time between failures (MTBF) of at least 1000 hours. Safety-related functions should include redundancy and fail-safe mechanisms to ensure continuous operation. Any system failure should not compromise user safety or significantly reduce comfort."
"MIB","7","What security measures should the SHS implement to protect user data and prevent unauthorized access?","The SHS should implement strong security measures, including encryption of data at rest and in transit, secure authentication mechanisms, role-based access control, and regular software updates. Access to sensitive personal and medical data should be limited to authorized users and compliant with data protection and privacy regulations."
"MIB","8","What specific encryption algorithms should be used for data at rest and in transit?","Data at rest should be encrypted using strong symmetric encryption algorithms such as AES-256 to ensure confidentiality of stored medical and personal information. Data in transit should be protected using secure communication protocols such as TLS 1.2 or higher, ensuring encryption, integrity, and authentication of exchanged data between system components."
"MIB","9","What authentication mechanisms should be implemented to verify user identity?","The system should implement multi-factor authentication (MFA) combining something the user knows (password or PIN), something the user has (security token or mobile device), and, when applicable, something the user is (biometric authentication such as fingerprint or facial recognition). Strong password policies and secure session management should also be enforced."
"MIB","10","How should role-based access control be implemented to limit data access?","Role-based access control (RBAC) should be implemented by defining clear user roles (e.g., patient, healthcare professional, system administrator) and assigning permissions according to the principle of least privilege. Access to sensitive data should be logged and monitored, with audit trails maintained to detect unauthorized or abnormal access attempts."
"MIB","11","Which specific data protection and privacy regulations should the SHS comply with (e.g., HIPAA, GDPR)?","The SHS should comply with applicable data protection and privacy regulations such as the General Data Protection Regulation (GDPR) for users in the European Union and HIPAA for healthcare data protection in the United States. Compliance should include data minimization, user consent management, data access rights, and secure data handling procedures."
"MIB","12","How frequently should software updates be implemented to maintain system security?","Security updates should be applied regularly, with critical security patches deployed as soon as they become available. Routine software updates should be scheduled at least monthly, while system audits and vulnerability assessments should be conducted periodically to ensure ongoing security compliance."
"MIB","13","What specific failure modes should the SHS be designed to withstand without affecting user safety or comfort?","The SHS should be designed to withstand common failure modes such as temporary power loss, individual sensor malfunctions, communication failures between system components, and software process crashes. In these situations, the system should continue to operate in a degraded but safe mode, ensuring that critical safety functions remain available and that user comfort is minimally impacted."
"MIB","14","What redundancy mechanisms should be implemented in the SHS to ensure continuous operation of safety-related functions?","The SHS should implement redundancy mechanisms such as N+1 redundancy for critical sensors, backup power supplies (e.g., battery or UPS), watchdog timers to detect system hangs, and self-diagnostic features to identify faults. Failover mechanisms should automatically switch to backup components to ensure uninterrupted operation of safety-related functions."
"MIB","15","What are the acceptable comfort levels in case of a system failure that does not compromise user safety?","In the event of a non-critical system failure, the acceptable comfort level should be limited to minor inconvenience or temporary discomfort, such as manual adjustment of lighting or temperature. The failure should not significantly disrupt the user’s daily activities, sleep quality, or overall well-being, and normal comfort should be restored as soon as the system recovers."
